gene_symbol,read_count_CGctx1,read_count_CGctx2,read_count_CGctx3,read_count_CGhp1,read_count_CGhp2,read_count_CGhp3,read_count_PGctx1,read_count_PGctx2,read_count_PGctx3,read_count_PGhp1,read_count_PGhp2,read_count_PGhp3
Gorasp2,2412.98,2358.15,2456.07,2431.82,2397.3,2343.43,2264.23,2101.74,2123.74,2371.39,2459.6,2488.71
Hdac7,164.86,175.44,235.85,209.09,217.79,200.28,196.62,210.12,228.92,196.3,235.92,202.82
Fhod3,270.76,266.93,244.76,218.84,247.92,272.92,245.9,262.99,253.99,256,277.74,278.46
Tshz3,206.11,237.91,218.97,280.51,308.78,322.78,202.1,190.55,200.58,277.31,250.17,251.72
Gprasp1,3285.56,3272.74,3286.29,3234.81,3126.68,3302.52,3532.35,3341.33,3585.57,3454.34,3504.6,3555.84
Ano4,23.42,31.18,29,29.89,32.99,38.99,43.95,46,40.98,45,47.98,50.98
Dtna,1381.5,1204.46,1310.32,1453.37,1559.55,1515.47,1254.22,1265.86,1274.33,1538.56,1602.33,1624.79
Carmil2,21,28,21.89,23.99,33,20,35,22,30.99,18,18,24.91
Kif21a,106.78,101.43,78.6,102.25,109.59,102.36,77.71,73.81,83.92,71.2,75.06,81.47
Tbx19,0,0,1,0,0,0,3,1,0,0,0,0
Gpr20,0,2,3.01,0.9,0,1.37,2,2.26,1.28,0.8,1.12,3.52
Pdss2,194.28,205.36,184.69,201.08,183.67,184.44,192.89,197.19,183.74,197.89,189.34,200.16
Phkg2,625.61,606.74,640.36,504.21,566.45,585.19,618.32,612.77,631.49,538.41,619.4,644.62
Dtnbp1,436.98,475.28,514.15,473,464.98,477,420,442.99,459.64,479.99,463.98,491.67
Acap2,2067.8,2009.12,1758.08,2009.34,1985.45,2069.34,2173.96,2130.55,2174.43,2071.7,1856.52,1874.36
Ap1s2,790.11,740.91,649.72,751.38,646.71,641.38,746.77,812.1,831.87,699.35,605.14,635.15
Mettl9,3954.61,4093.07,3985.62,4021.53,4077.96,3995.62,4118.51,3992.01,3982.32,4081.62,3847.33,3963.77
Cd59b,3.01,1.76,1,3.19,0,1.38,3.07,2.43,1,0,0,1.55
Zfp1,295.67,281.6,302.37,289.25,285.19,289.13,331.76,275.59,294.77,283.67,315.4,278.18
Hnrnpr,6820.4,6584.43,6424.9,6635,6656.59,6708.13,6333.3,6470.25,6445.82,6848.67,6714.2,6619.88
Scin,0,0,1.16,0,0.42,0,3.66,0,3.81,0.7,1.04,0
Mast3,881.82,875.41,1026.81,841.08,871.44,848.3,827.91,777.44,816.63,876.29,873.06,884.18
Psme1,497.98,506.9,518.22,523.88,507.67,482,533.98,545.62,491.01,510.99,565.49,495
Spcs1,1689.06,1797.6,1869.48,1791.05,1818.84,1727.42,1765.44,1727.41,1676.48,1730.13,1704.25,1746.02
Ndufs7,711.32,779.5,877.95,744.98,675.97,665.99,739.28,753.9,679.96,694.99,742.99,783.11
Cog7,464.73,451.5,518.73,497.84,507.99,458.42,521.7,514.34,486.7,440.06,498.27,509.22
Vmn2r40,0,0,0,0,0,0,0,0,0,0.57,0,0
Mocos,24,15,19,11,9,7,20,23,21,11.64,11,7
Cad,3857.18,3777.47,4322.94,3860.28,3991.56,3922.15,3525.49,3499.69,3537.21,3870.83,4173.79,3942.16
Tmem202,4,3,4,6,5,4,4,5.98,3,2,4.01,6.01
Gipc3,3,0,3,6,3,1,2,5,7,2,4,6
Rmnd1,451.99,439.85,489.94,457.27,425.46,427.16,437.99,478.97,473.89,486.42,445.47,491.4
Cfap74,150.17,134.57,170,130.14,128.1,140.64,139.47,103.45,148.94,142.46,129.62,168.78
Bsn,409.88,405.58,493.33,381.12,424.14,393.9,561.66,575.47,564.92,396.85,446.05,395.98
Jchain,0,4,0,5,2,7.13,1,3.91,2.84,3.98,3,3
Mxd3,561.34,489.62,504.7,519.25,483.39,511.58,421.98,433.9,434.48,518.79,504.82,561.32
Ociad1,2623.92,2479.54,2405.96,2439.88,2503.35,2418.58,2497.2,2667.07,2509.1,2626.52,2594.85,2610.72
